municipality_name,municipality_type,ward_no,latitude,longitude,population,household_size,households,road_distance_km,highway_distance_km,hospital_distance_km,school_distance_km,bank_distance_km,market_distance_km,bus_stop_distance_km,tourist_distance_km,electricity_access_pct,internet_access_pct,water_access_pct,average_income_npr,land_price_per_kattha_npr,rent_price_npr,commercial_buildings,industries,agriculture_pct,footfall_index,crime_rate_index,flood_risk_index,landslide_risk_index,purchasing_power_index,business_density,urbanization_rate,development_index,investment_score,recommended_business,business_success_probability
Rohini,Rural,2,27.465896,83.221075,1756,6.16,285,2.58,8.26,16.14,3.79,4.38,4.6,4.27,24.66,88.93,34.5,61.43,19903.78,3236538.98,3087.28,4,2,74.23,22.95,1.65,0.15,1.62,48.7,2.28,62.01,46.53,25.51,Cold Storage,0.95
Sudhodhan,Rural,6,27.651869,83.693457,539,5.94,90,1.0,6.71,18.68,4.96,8.11,1.99,3.9,4.74,66.15,36.62,57.86,7675.67,2977443.75,2600.23,10,0,69.33,7.41,0.7,0.67,1.79,21.32,10.0,29.37,36.48,13.08,Agro-vet Clinic,0.5755
Mayadevi,Rural,5,27.426018,83.687436,881,6.05,145,6.49,11.1,15.54,0.46,4.5,2.43,4.9,12.95,80.07,37.16,65.42,17857.1,1679109.38,3777.18,4,0,81.21,16.32,0.61,1.86,1.58,37.38,4.0,33.67,46.77,19.07,Bookstore,0.8875
Siyari,Rural,4,27.593737,83.245419,1056,6.29,167,1.97,3.1,7.54,6.1,8.15,5.22,3.5,16.15,79.38,35.6,74.38,22343.99,2018483.48,2022.06,6,0,100.0,28.63,0.84,0.95,0.64,73.94,5.68,34.08,50.4,37.03,Agro-vet Clinic,0.95
Siyari,Rural,4,27.463253,83.630302,1530,5.7,268,2.79,5.23,9.82,3.51,6.56,4.52,2.26,8.86,51.22,42.62,77.79,19894.42,1866843.19,4106.17,3,0,77.93,21.61,2.73,9.28,0.86,38.96,1.96,53.72,43.13,23.06,Agro-vet Clinic,0.8159
Sammarimai,Rural,3,27.791699,83.679917,1501,6.27,239,2.33,10.15,5.75,5.65,1.42,3.63,3.81,9.92,81.19,61.52,42.13,7365.83,2025297.58,3271.68,17,1,90.44,25.84,1.15,5.57,0.41,17.24,11.33,54.7,52.88,19.89,Dairy Farm,0.5638
Kotahimai,Rural,3,27.737762,83.42665,1007,5.59,180,3.54,6.01,8.19,5.26,3.01,6.61,5.66,13.28,95.66,30.88,54.6,20973.49,2067783.95,3366.73,16,1,81.98,1.56,0.87,9.77,1.73,48.03,15.89,42.01,49.51,20.67,Cold Storage,0.6764
Rohini,Rural,3,27.566031,83.274548,1157,6.31,183,4.01,8.83,5.27,6.27,10.57,4.6,3.19,36.72,90.44,69.65,84.31,13388.24,1344490.54,1811.06,12,1,78.48,28.09,2.49,4.07,0.52,47.63,10.37,45.97,65.92,37.06,Dairy Farm,0.95
Mayadevi,Rural,2,27.703573,83.34854,684,5.17,132,2.4,4.17,16.59,3.42,4.57,6.17,5.22,4.1,64.25,54.67,100.0,17081.53,2269607.84,5280.26,6,0,70.54,32.21,0.93,6.08,0.21,27.2,6.0,31.76,58.55,33.39,Fertilizer Store,0.7825
Marchawari,Rural,3,27.784342,83.535093,1157,5.97,193,0.39,6.5,9.19,2.77,1.24,5.81,2.31,11.61,50.85,45.06,53.77,25332.21,872627.36,1467.4,11,2,64.26,24.08,1.96,5.53,0.72,102.67,9.51,49.83,41.13,30.91,Fertilizer Store,0.95
Devdaha,Semi-Urban,12,27.415697,83.693991,3501,4.54,771,2.64,2.79,11.15,1.69,2.17,2.62,2.97,25.55,86.37,62.8,94.99,43057.69,15255173.66,15941.95,21,0,51.94,77.31,2.28,0.81,0.59,25.41,6.0,100.0,70.29,48.25,Cold Storage,0.95
Lumbini Sanskritik,Semi-Urban,4,27.717001,83.265227,1039,4.73,219,2.5,3.87,11.0,1.14,6.06,4.5,1.9,0.59,88.51,54.62,84.32,25425.66,12490640.82,8166.74,45,0,45.61,55.29,2.56,0.56,0.42,27.74,43.31,65.49,62.9,51.71,Tutoring Center,0.9024
Marchawari,Rural,6,27.708724,83.649115,1649,6.16,267,4.35,13.69,12.84,1.01,9.57,7.7,8.92,12.29,96.78,20.19,72.81,15967.37,1909211.69,4285.74,2,0,92.19,34.54,0.97,6.01,1.34,30.21,1.21,52.61,48.4,26.98,Bookstore,0.4179
Gaidahawa,Rural,5,27.795947,83.306961,532,6.15,86,1.68,4.88,16.96,0.68,2.43,4.96,4.59,12.72,82.27,23.96,100.0,16846.07,1362410.66,3123.91,13,2,65.11,17.54,1.86,5.05,1.92,40.85,13.0,31.63,56.01,30.75,Tutoring Center,0.831
Rohini,Rural,1,27.645792,83.539838,662,6.03,109,0.85,6.42,5.02,3.4,8.34,2.36,4.77,2.72,84.59,43.07,76.82,17392.63,2281881.69,4461.03,10,1,70.68,8.45,0.47,6.62,0.93,31.85,10.0,32.66,58.87,23.67,Agro-vet Clinic,0.7796
Marchawari,Rural,3,27.715979,83.232118,1422,6.28,226,0.82,4.74,6.17,1.31,7.56,6.14,5.3,26.52,73.23,6.86,59.77,15576.86,2114734.1,1924.35,11,0,90.47,27.74,1.1,0.5,0.79,53.27,7.74,49.92,37.58,17.16,Bookstore,0.95
Mayadevi,Rural,6,27.764702,83.575464,1259,5.79,217,2.4,6.82,15.17,3.54,15.29,1.04,2.56,14.4,84.81,14.94,78.49,22324.74,1094301.74,3172.84,12,1,81.49,32.02,0.16,1.56,1.07,53.5,9.53,48.12,41.06,32.08,Cold Storage,0.95
Lumbini Sanskritik,Semi-Urban,5,27.611223,83.405614,2285,5.47,417,1.86,3.86,2.61,1.41,4.87,2.45,2.38,2.5,89.42,47.25,94.34,168338.21,4953255.86,12467.72,23,5,54.65,8.56,2.3,0.91,0.49,124.99,10.07,91.36,69.34,47.31,Tutoring Center,0.95
Butwal,Urban,18,27.765298,83.315984,5171,4.69,1101,0.5,2.23,1.44,0.71,1.73,0.59,0.34,9.6,93.03,84.8,90.81,37778.61,24915250.74,18798.82,164,15,4.49,103.46,5.2,3.4,0.58,19.08,31.72,100.0,82.15,75.69,Pharmacy,0.7906
Sainamaina,Semi-Urban,5,27.539779,83.306312,1367,4.59,297,0.72,4.04,5.63,1.17,4.03,1.86,1.84,20.92,93.43,55.37,79.31,5000.0,6845623.93,11667.23,91,6,47.09,60.62,1.43,1.88,1.96,3.95,66.57,93.28,68.84,54.76,Stationery Shop,0.5291
Siddharthanagar,Urban,1,27.480579,83.631979,5087,4.79,1061,0.11,0.32,1.74,0.98,1.2,0.51,0.54,14.55,98.86,94.97,93.86,43214.0,20167973.17,20894.52,174,12,10.78,67.29,3.32,2.9,1.32,19.74,34.2,100.0,90.55,58.05,Pharmacy,0.95
Rohini,Rural,6,27.4357,83.239342,1450,5.33,272,2.79,6.23,10.65,5.92,9.84,6.87,4.74,2.42,58.24,29.17,84.56,21182.77,3858087.38,4061.82,17,1,89.68,12.82,2.14,6.78,1.8,41.85,11.72,53.4,40.59,29.18,Cold Storage,0.7444
Sainamaina,Semi-Urban,11,27.689916,83.229763,1676,5.47,306,1.73,3.38,5.12,2.24,1.55,2.23,1.91,17.65,78.79,77.49,86.64,5000.0,9758751.13,7504.22,36,6,45.36,24.45,4.08,2.13,0.15,5.88,21.48,81.07,71.58,42.84,Agro-vet Clinic,0.1482
Gaidahawa,Rural,2,27.623064,83.338688,208,5.58,37,1.09,7.21,18.5,4.8,7.68,3.22,2.08,4.65,78.81,43.94,75.88,21253.34,2340728.77,1929.33,6,1,77.65,35.89,1.9,4.9,0.06,72.55,6.0,15.34,48.27,31.02,Agro-vet Clinic,0.95
Butwal,Urban,19,27.687516,83.307665,6267,4.41,1420,0.8,0.92,4.23,1.56,1.6,0.21,0.41,22.52,99.29,85.07,94.05,39318.28,15767727.54,10593.8,180,18,5.64,80.27,3.66,3.97,0.53,33.91,28.72,100.0,85.04,71.41,Wholesale Distributor,0.95
Rohini,Rural,4,27.66201,83.422925,1600,6.14,260,2.09,5.29,10.47,2.6,7.33,7.39,2.46,23.19,90.01,14.37,57.29,22609.68,2681127.95,1684.2,7,1,80.42,9.26,1.87,6.83,0.85,84.23,4.38,56.68,40.78,28.13,Dairy Farm,0.95
Gaidahawa,Rural,8,27.605979,83.606992,1506,5.23,288,5.96,7.85,6.35,4.8,4.54,3.6,4.87,29.13,72.85,33.39,66.93,13374.85,1628152.98,3481.17,5,0,81.38,28.67,2.3,0.58,1.12,29.85,3.32,52.77,44.6,26.7,Agro-vet Clinic,0.8169
Sammarimai,Rural,2,27.770476,83.605727,1304,5.46,238,5.47,5.32,6.52,1.84,8.3,4.55,0.64,17.38,82.17,1.21,72.1,22427.89,3425347.83,1635.32,9,0,84.34,22.16,1.22,1.76,0.74,85.1,6.9,47.42,39.54,29.31,Cold Storage,0.95
Siddharthanagar,Urban,5,27.549326,83.637288,4014,4.15,967,0.04,0.27,4.78,1.69,1.48,1.88,0.73,6.2,97.66,91.86,100.0,33271.82,22030395.83,20305.2,87,8,8.44,80.72,4.12,2.41,1.36,15.62,21.67,100.0,88.4,63.12,Tailoring Shop,0.6291
Gaidahawa,Rural,2,27.719604,83.218127,1187,5.54,214,3.67,4.57,9.27,4.34,6.68,4.85,6.63,15.89,64.55,67.28,59.93,16593.98,2098735.31,3444.59,12,0,68.77,45.03,1.11,2.87,1.18,37.34,10.11,49.78,50.83,32.7,Fertilizer Store,0.9438
Tilottama,Urban,13,27.401011,83.250576,5709,4.15,1376,0.86,0.36,2.25,1.32,1.13,1.1,0.29,6.99,97.88,88.81,93.48,40681.77,14436477.02,11446.76,164,18,11.17,61.15,3.39,1.35,1.71,32.68,28.73,100.0,87.22,51.3,Bookstore,0.95
Gaidahawa,Rural,2,27.459855,83.424864,1268,6.33,200,2.83,8.14,7.73,2.81,2.78,5.15,6.11,27.12,58.54,17.55,77.54,10534.05,1864972.21,3283.13,9,0,85.01,35.19,1.59,3.4,0.36,24.59,7.1,46.14,41.54,35.4,Cold Storage,0.7264
Siddharthanagar,Urban,3,27.685087,83.640994,4008,4.96,808,0.4,3.5,0.42,1.28,2.59,1.13,0.27,14.7,98.48,96.85,89.92,42565.17,16842941.82,26932.44,194,18,15.7,60.91,4.1,4.89,0.75,15.24,48.4,100.0,88.64,62.98,Medical Supply Store,0.6086
Sainamaina,Semi-Urban,10,27.749599,83.643646,3663,5.31,689,3.38,4.08,5.54,2.49,3.08,2.5,3.2,8.11,97.58,42.39,85.1,11341.71,9207548.63,12008.32,47,0,25.52,67.93,-0.24,3.16,1.6,8.72,12.83,100.0,68.02,52.2,Tailoring Shop,0.6098
Rohini,Rural,1,27.613488,83.36924,1709,5.84,292,4.85,4.01,7.07,2.27,9.67,5.57,0.13,6.63,80.11,24.96,68.32,19741.29,2840366.62,2358.03,1,0,87.56,15.79,0.3,7.31,1.25,58.79,0.59,55.4,45.56,22.57,Dairy Farm,0.95
Mayadevi,Rural,2,27.770486,83.607504,1072,5.05,212,3.3,10.11,8.16,3.57,2.94,6.37,3.48,23.95,68.46,29.34,70.6,20955.45,1874872.58,3763.67,12,0,78.75,18.52,1.9,0.1,1.38,43.99,11.19,43.33,45.24,23.72,Fertilizer Store,0.95
Kanchan,Rural,5,27.626216,83.518652,895,6.44,139,4.14,12.01,14.0,0.01,10.28,5.12,4.71,9.8,83.11,68.73,61.81,13744.83,1144045.96,1948.47,0,1,99.88,40.52,0.82,8.28,0.86,46.62,0.0,26.89,56.18,33.92,Stationery Shop,0.95
Mayadevi,Rural,7,27.73585,83.413,770,5.84,131,3.96,8.06,13.93,3.27,9.14,5.2,2.96,24.15,66.5,46.22,60.19,24113.56,665028.91,4132.93,20,1,85.99,30.37,1.28,1.81,1.09,46.98,20.0,35.3,41.21,30.99,Cold Storage,0.95
Kotahimai,Rural,4,27.726787,83.52678,890,5.73,155,1.93,4.0,15.7,1.61,5.79,2.9,3.08,13.14,72.67,21.88,48.57,13205.52,1490754.23,3740.52,14,0,95.69,14.9,1.02,5.26,0.18,27.86,14.0,33.59,34.17,30.07,Cold Storage,0.4766
Rohini,Rural,7,27.608829,83.365454,1427,5.31,268,3.11,6.56,12.61,3.63,4.81,5.49,1.51,20.38,60.83,42.92,54.77,11152.68,3411860.71,2225.73,8,1,74.35,21.43,1.96,7.16,1.52,34.57,5.61,53.71,38.8,20.56,Agro-vet Clinic,0.634
Kanchan,Rural,3,27.765951,83.270134,2139,5.82,367,4.9,6.82,8.74,3.31,5.33,5.52,1.36,3.31,79.78,68.24,39.97,15774.71,2433514.26,3890.38,14,0,73.26,11.0,1.45,0.46,0.22,32.26,6.55,77.79,50.08,22.88,Agro-vet Clinic,0.6365
Siddharthanagar,Urban,10,27.739655,83.317821,4057,4.57,887,0.4,2.65,2.29,1.0,1.14,0.26,0.34,17.17,98.01,89.03,100.0,53549.04,20046976.77,33450.31,219,15,9.93,65.68,4.76,0.95,1.85,15.54,53.98,100.0,88.5,67.56,Stationery Shop,0.762
Devdaha,Semi-Urban,4,27.52539,83.532539,2162,4.93,438,2.53,3.22,7.31,1.52,0.83,1.91,2.33,24.44,96.21,61.15,95.55,5000.0,11752124.35,10885.34,25,10,38.12,11.13,1.79,1.47,0.42,4.21,11.56,93.43,76.41,27.35,Tailoring Shop,0.3075
Marchawari,Rural,3,27.538743,83.218285,1434,5.49,261,1.51,12.9,16.75,4.29,7.28,4.01,2.09,26.53,80.44,6.53,55.09,27503.25,2314636.11,4106.46,8,0,86.12,25.69,1.56,8.79,0.81,53.86,5.58,50.38,30.89,18.66,Fertilizer Store,0.9359
Tilottama,Urban,6,27.613006,83.257124,3368,4.97,677,0.16,0.64,3.95,1.02,0.28,0.89,0.06,36.58,98.76,95.54,98.31,25616.09,20634845.4,14251.99,191,15,21.4,79.1,3.88,2.4,1.78,16.8,56.71,100.0,90.95,76.64,Stationery Shop,0.95
Mayadevi,Rural,3,27.535611,83.485706,1994,5.08,392,1.69,0.43,11.69,3.84,6.74,3.87,2.11,9.74,91.96,30.62,93.11,15826.03,2652475.4,1377.03,3,2,68.28,1.81,2.99,5.4,0.4,66.58,1.5,70.54,56.92,21.43,Agro-vet Clinic,0.95
Tilottama,Urban,6,27.760476,83.330418,5531,4.02,1375,0.95,0.46,0.7,0.23,0.01,0.06,0.19,18.93,95.82,91.97,96.77,56749.95,19608310.54,18753.48,310,19,10.76,81.24,4.43,3.82,0.17,28.73,56.05,100.0,89.47,76.27,Polyclinic,0.95
Butwal,Urban,14,27.572546,83.422983,6331,4.19,1512,0.29,0.39,2.65,0.91,0.62,0.99,0.42,7.18,95.82,100.0,92.56,36579.01,13663616.56,31609.16,216,16,8.15,75.81,3.44,0.19,0.28,11.22,34.12,100.0,90.45,63.61,Tutoring Center,0.8634
Kotahimai,Rural,6,27.431066,83.679863,1334,6.4,208,4.0,10.25,9.66,4.65,8.18,3.83,6.25,11.84,63.89,47.12,59.15,17186.78,2270866.47,586.55,12,0,82.86,25.02,1.82,4.36,0.76,108.33,9.0,49.96,41.66,26.91,Cold Storage,0.95
Gaidahawa,Rural,5,27.701973,83.313563,1097,5.86,187,4.77,6.32,14.24,4.19,11.06,7.4,3.43,33.11,94.5,15.72,83.96,24074.72,2084616.31,2668.22,2,1,68.85,12.07,0.55,4.71,0.05,65.63,1.82,43.06,47.05,24.28,Agro-vet Clinic,0.95
Siddharthanagar,Urban,4,27.571588,83.632395,3818,4.78,798,0.61,1.52,2.37,0.45,1.61,1.36,0.44,10.48,96.95,86.29,100.0,51533.14,19052131.52,23050.96,161,10,13.7,65.11,4.69,0.28,0.24,21.43,42.17,100.0,87.2,64.88,Bookstore,0.95
Rohini,Rural,6,27.718538,83.366327,1143,6.42,178,8.18,11.41,16.57,3.6,5.2,6.56,3.88,9.9,61.91,11.6,47.84,23513.46,2142263.84,2470.23,14,0,80.95,18.2,2.12,3.94,0.61,67.76,12.25,45.6,21.55,10.89,Agro-vet Clinic,0.95
Rohini,Rural,6,27.549941,83.599974,995,5.7,174,4.74,7.05,13.64,4.72,12.26,7.24,4.33,16.67,70.72,15.14,90.33,21152.72,1527824.21,1759.09,7,0,81.92,12.63,1.52,3.56,1.2,76.67,7.0,38.07,39.53,10.69,Cold Storage,0.95
Kotahimai,Rural,1,27.571619,83.313385,1443,6.28,229,2.88,8.18,15.74,5.74,7.6,4.61,0.04,7.92,75.39,31.43,79.58,15824.74,817598.2,708.71,4,0,83.37,14.82,1.07,4.72,0.98,92.61,2.77,49.88,45.08,29.23,Cold Storage,0.95
Mayadevi,Rural,5,27.491367,83.411507,1588,5.49,289,3.29,7.87,6.43,2.78,7.91,4.39,3.9,10.23,74.71,19.51,82.25,12972.66,3783711.55,2922.21,0,2,92.52,24.57,2.01,4.5,1.23,33.07,0.0,49.89,46.62,24.62,Fertilizer Store,0.93
Marchawari,Rural,4,27.59026,83.522549,2004,5.92,338,4.61,11.51,18.74,6.49,7.65,1.86,3.39,1.31,80.85,31.5,51.3,14294.19,2646191.64,4580.34,14,2,79.19,2.58,1.14,8.96,1.72,25.62,6.99,71.96,34.67,14.14,Agro-vet Clinic,0.3872
Devdaha,Semi-Urban,9,27.788904,83.479258,3182,4.95,642,1.22,4.28,4.59,2.2,3.3,3.98,2.06,29.54,91.44,46.07,84.53,55729.26,4756963.79,7078.51,35,7,53.15,-19.09,2.42,0.55,1.12,68.98,11.0,100.0,65.94,25.45,Fertilizer Store,0.95
Mayadevi,Rural,3,27.460537,83.592666,1125,5.32,211,2.54,13.74,13.42,2.66,6.25,8.29,3.53,9.06,64.66,16.3,61.76,11601.76,1100639.92,2170.68,12,0,77.93,32.7,2.54,0.95,0.64,36.59,10.67,45.17,32.6,19.72,Cold Storage,0.8238
Omsatiya,Rural,2,27.431513,83.338451,874,5.29,165,1.46,0.73,15.95,2.82,8.39,4.37,3.95,14.79,64.72,29.43,56.93,25286.12,2416483.77,3291.05,3,1,86.64,22.68,1.67,9.38,0.81,58.93,3.0,31.43,34.38,29.76,Agro-vet Clinic,0.95
Tilottama,Urban,2,27.678856,83.69776,3542,4.22,838,0.05,1.02,2.36,1.43,1.87,0.38,0.25,19.73,100.0,93.23,95.41,44701.96,22622923.42,22311.47,213,7,6.56,69.84,3.44,4.03,0.02,19.18,60.14,100.0,89.92,64.26,Bookstore,0.8072
Lumbini Sanskritik,Semi-Urban,13,27.635616,83.327126,2433,5.15,472,0.21,3.37,4.81,3.55,0.58,2.44,0.38,1.2,78.1,53.99,89.12,53745.91,8319428.91,9582.8,75,3,45.71,13.94,2.6,0.81,0.85,50.79,30.83,100.0,66.57,43.06,Agro-vet Clinic,0.95
Rohini,Rural,5,27.582496,83.465572,1299,5.14,252,3.09,10.75,10.01,0.24,8.98,2.77,1.9,27.1,85.32,23.06,83.77,14775.36,2634610.0,2244.54,21,0,90.26,28.44,1.75,4.02,0.13,45.54,16.17,50.29,51.14,19.29,Bookstore,0.95
Rohini,Rural,4,27.66889,83.675516,200,5.98,33,0.47,6.89,9.78,3.86,8.76,7.19,5.51,22.45,67.54,46.27,71.37,22011.84,3304100.6,2645.41,7,1,91.83,20.58,2.5,3.77,1.84,60.38,7.0,11.25,47.8,29.13,Dairy Farm,0.95
Devdaha,Semi-Urban,8,27.455679,83.490109,2445,5.25,466,2.5,4.75,7.01,1.9,4.17,1.91,1.58,26.79,83.44,68.62,88.25,77468.4,7145613.33,6465.46,58,8,51.33,71.69,2.29,0.75,0.56,103.77,23.72,100.0,70.02,62.47,Fertilizer Store,0.95
Rohini,Rural,6,27.495492,83.658817,1146,5.8,197,1.45,6.17,13.13,6.05,3.59,2.39,2.28,16.0,85.53,32.51,48.36,25757.19,2211584.32,3164.56,11,1,67.33,17.68,1.36,8.43,0.52,61.85,9.6,48.58,42.0,21.81,Dairy Farm,0.95
Sudhodhan,Rural,3,27.441123,83.238744,695,5.54,125,3.76,7.1,17.38,3.49,9.58,7.91,2.82,1.72,72.2,73.42,91.67,19935.74,2000447.99,3826.45,6,0,73.24,14.28,2.15,3.51,0.43,41.31,6.0,31.28,59.84,18.48,Cold Storage,0.95
Gaidahawa,Rural,8,27.662957,83.207824,1708,6.33,269,2.35,9.78,4.37,2.35,9.91,6.32,1.0,12.73,80.66,9.35,61.12,25786.95,1165842.07,1596.11,12,0,92.07,16.47,2.47,9.85,1.54,99.33,7.03,58.42,38.42,23.11,Fertilizer Store,0.95
Tilottama,Urban,2,27.589476,83.577727,6566,4.21,1559,0.19,0.19,2.28,1.28,0.84,0.99,0.2,3.75,96.07,91.18,98.39,50220.21,17283992.5,23457.55,133,10,14.83,80.49,3.43,4.78,0.78,20.53,20.26,100.0,89.49,67.29,Tutoring Center,0.8886
Kanchan,Rural,3,27.677843,83.559586,1365,6.03,226,3.11,9.26,15.12,2.14,10.04,7.01,2.61,9.28,83.18,0.0,80.86,11864.35,2322111.97,1228.27,11,0,66.54,20.6,1.36,3.71,1.29,53.24,8.06,55.39,38.11,28.47,Cold Storage,0.95
Omsatiya,Rural,1,27.691694,83.545276,1328,5.42,245,1.42,7.7,9.95,1.66,0.43,2.92,6.23,33.06,68.96,26.61,79.83,24625.02,1222132.0,1057.43,21,3,81.88,7.3,2.27,1.41,0.31,119.69,15.81,53.67,49.46,29.59,Dairy Farm,0.95
Tilottama,Urban,8,27.563799,83.28476,5991,4.88,1227,0.76,2.52,2.45,1.13,0.59,0.8,0.27,16.37,94.12,88.6,94.39,57121.55,16738575.78,22057.98,238,11,10.77,73.88,3.63,1.58,1.75,24.77,39.73,100.0,86.27,71.37,Tutoring Center,0.8397
Butwal,Urban,9,27.573352,83.429458,3251,4.06,800,1.43,2.87,1.93,1.23,0.53,1.04,1.0,20.78,99.99,89.59,98.38,50065.88,25559766.8,33835.82,193,18,8.08,66.15,3.6,0.4,0.31,14.37,59.37,100.0,89.84,68.3,Medical Supply Store,0.6647
Siddharthanagar,Urban,13,27.680599,83.693199,6290,4.52,1391,0.88,2.78,6.28,0.53,1.52,0.84,0.03,11.05,98.93,87.55,100.0,40481.08,27665344.13,24476.37,258,17,12.19,76.34,4.75,4.75,0.3,15.89,41.02,100.0,86.13,64.38,Stationery Shop,0.6559
Lumbini Sanskritik,Semi-Urban,8,27.731329,83.436711,2928,4.71,621,2.27,2.89,6.55,0.73,3.01,2.04,0.94,0.63,87.23,56.39,84.52,48976.43,12098644.36,10842.79,66,8,58.55,87.4,2.0,0.35,1.72,41.36,22.54,100.0,67.77,57.26,Bookstore,0.95
Kotahimai,Rural,3,27.707213,83.206321,1483,6.22,238,4.55,8.0,11.05,2.29,8.44,3.68,4.48,19.05,73.48,3.32,56.0,15378.41,1553263.87,2236.05,6,2,68.8,34.73,1.24,7.19,0.25,47.52,4.05,56.25,29.86,23.53,Dairy Farm,0.9478
Lumbini Sanskritik,Semi-Urban,10,27.632948,83.693452,2327,4.87,477,2.44,1.89,3.83,1.7,2.33,2.72,2.04,1.45,86.39,32.37,75.07,15175.23,4610997.62,8527.58,27,4,23.9,33.02,1.19,0.47,0.86,15.93,11.6,100.0,58.27,37.28,Travel Agency,0.6631
Kanchan,Rural,4,27.430258,83.431415,1352,6.14,220,4.38,11.22,12.22,4.01,7.97,2.59,6.14,12.16,49.96,44.24,74.0,19955.95,2334855.46,1692.2,17,1,100.0,27.9,1.54,0.32,1.55,74.13,12.57,47.36,40.24,23.5,Fertilizer Store,0.95
Tilottama,Urban,16,27.715658,83.464782,6839,4.44,1541,0.73,2.88,2.38,0.33,1.43,1.58,0.91,21.28,99.47,97.11,95.27,38192.24,21461327.28,35636.27,170,10,10.49,76.6,4.97,3.6,0.88,10.42,24.86,100.0,89.88,56.1,Tutoring Center,0.7363
Siyari,Rural,4,27.529024,83.412217,1295,5.52,234,2.49,11.53,10.88,8.16,6.29,4.79,1.45,10.01,73.79,35.95,52.24,19635.05,1580131.62,2265.84,13,0,69.12,21.77,2.18,2.15,1.78,60.12,10.04,53.31,37.91,22.31,Dairy Farm,0.95
Sammarimai,Rural,3,27.609629,83.657408,1088,5.62,193,3.07,7.36,8.42,2.54,3.76,5.76,5.14,30.3,63.44,60.41,65.28,14789.36,500000.0,3402.2,11,1,73.58,19.65,1.09,8.85,0.72,33.6,10.11,44.97,53.06,27.72,Fertilizer Store,0.7461
Devdaha,Semi-Urban,3,27.773662,83.578583,2314,4.89,472,1.16,3.46,1.78,2.6,2.94,3.92,1.67,1.79,89.9,42.96,73.96,94649.63,6621337.06,13981.24,0,9,38.98,56.8,1.44,1.2,1.73,63.18,0.0,87.73,63.26,48.98,Pharmacy,0.95
Sammarimai,Rural,4,27.639278,83.291781,945,5.53,170,0.28,17.77,15.05,6.38,9.49,3.52,3.24,0.1,83.83,38.75,61.34,34438.81,1887080.26,2674.26,10,0,81.23,32.87,1.4,4.51,0.3,93.73,10.0,37.98,44.31,29.72,Cold Storage,0.95
Gaidahawa,Rural,5,27.473538,83.670706,1668,5.51,302,3.22,3.42,12.35,3.35,2.45,4.9,2.83,2.69,96.21,21.79,75.26,19182.84,1667962.95,2223.72,24,0,77.88,29.02,0.89,8.53,1.56,59.51,14.39,66.28,52.85,32.5,Agro-vet Clinic,0.95
Sudhodhan,Rural,7,27.683482,83.395417,1388,6.05,229,4.82,12.03,12.47,2.5,2.82,4.92,7.07,12.16,70.35,45.7,82.66,24581.72,500000.0,1777.25,5,0,83.36,22.9,1.82,1.91,1.39,88.51,3.6,48.63,53.12,22.35,Agro-vet Clinic,0.95
Siddharthanagar,Urban,8,27.509281,83.404493,6457,4.53,1424,1.2,2.25,3.17,1.64,1.42,1.19,0.4,17.43,100.0,92.07,87.61,23303.52,23569564.83,23131.59,295,17,14.62,64.26,5.03,4.92,1.68,9.66,45.69,100.0,84.48,55.22,Wholesale Distributor,0.6379
Tilottama,Urban,11,27.614253,83.268552,3263,4.55,716,0.56,0.32,4.41,1.53,1.0,0.89,0.43,12.47,99.14,86.62,99.97,40801.53,20108565.09,20270.83,216,12,12.34,98.24,2.92,4.77,0.74,19.18,66.2,100.0,88.57,75.26,Logistics/Freight Service,0.95
Omsatiya,Rural,3,27.722872,83.528747,957,5.2,184,1.11,3.01,9.53,3.54,6.14,6.64,4.29,12.87,100.0,38.49,43.97,17368.76,1509095.01,3072.61,6,1,60.91,31.44,0.24,0.96,0.71,42.65,6.0,42.84,50.42,30.76,Fertilizer Store,0.95
Devdaha,Semi-Urban,7,27.741004,83.489916,3114,5.43,573,1.54,4.46,2.71,1.63,3.05,2.15,2.9,28.26,91.09,78.62,81.86,20010.86,5086430.39,16531.96,13,2,30.59,100.17,4.31,2.2,1.54,11.41,4.17,100.0,75.09,69.54,Hardware Store,0.7634
Butwal,Urban,18,27.689499,83.212513,6465,4.02,1609,0.59,2.22,1.76,0.71,0.68,0.76,0.83,24.03,100.0,90.27,90.56,44846.35,18171623.33,13352.68,305,18,14.23,67.06,4.12,4.63,0.91,31.25,47.18,100.0,87.62,71.61,Pharmacy,0.9373
Kotahimai,Rural,4,27.669535,83.305344,996,5.28,188,4.63,14.19,8.86,3.65,4.74,6.69,2.92,15.08,73.54,0.0,45.8,11374.21,3684069.31,938.48,5,1,76.35,8.96,0.73,3.93,0.26,58.68,5.0,38.98,28.11,24.15,Cold Storage,0.95
Siddharthanagar,Urban,4,27.652074,83.601877,6670,4.81,1386,0.9,3.23,1.07,0.02,0.24,0.47,0.66,8.47,95.69,86.62,88.75,58427.09,21787879.45,20384.09,261,15,10.67,97.14,3.49,3.65,1.5,27.32,39.13,100.0,85.75,73.65,Medical Supply Store,0.95
Siyari,Rural,5,27.744731,83.452019,1527,6.26,243,6.42,10.34,3.64,4.06,4.8,3.31,7.49,2.0,71.79,9.93,64.61,25169.42,1443455.4,3529.3,16,0,85.32,9.7,3.46,4.2,1.78,55.57,10.48,56.61,35.87,16.93,Dairy Farm,0.95
